symbol,symbolName,lastPrice,priceChange,percentChange,openPrice,highPrice,lowPrice,volume,tradeTime,symbolCode,hasOptions,symbolType,raw
"SB","Safe Bulkers Inc","3.23","+0.01","+0.31%","3.21","3.26","3.21","304,800","11/03/23","STK","Yes","1","[object Object]"
"SBCF","Seacoast Banking Cp","23.02","+1.40","+6.48%","22.50","23.34","21.94","892,700","11/03/23","STK","Yes","1","[object Object]"
"SBGI","Sinclair Inc","14.87","+0.62","+4.35%","14.62","15.56","14.50","1,306,100","11/03/23","STK","Yes","1","[object Object]"
"SBH","Sally Beauty Holdings","9.27","+0.26","+2.89%","9.21","9.40","9.16","1,529,400","11/03/23","STK","Yes","1","[object Object]"
"SBOW","Silverbow Resources Inc","36.45","+0.09","+0.25%","36.50","37.13","35.40","303,200","11/03/23","STK","Yes","1","[object Object]"
"SBRA","Sabra REIT","13.86","-0.37","-2.60%","14.36","14.40","13.71","3,809,600","11/03/23","STK","Yes","1","[object Object]"
"SBSI","Southside Bancshares","29.44","+1.27","+4.51%","29.24","29.94","29.15","156,500","11/03/23","STK","Yes","1","[object Object]"
"SBT","Sterling Bancorp Inc [Southfield Mi]","5.84","+0.17","+3.00%","5.67","5.85","5.65","38,700","11/03/23","STK","Yes","1","[object Object]"
"SCHL","Scholastic Cp","39.44","+0.01","+0.03%","39.92","40.23","39.30","195,000","11/03/23","STK","Yes","1","[object Object]"
"SCL","Stepan Company","77.70","+2.56","+3.41%","75.90","78.59","75.90","100,300","11/03/23","STK","Yes","1","[object Object]"
"SCLX","Scilex Holding Co.","1.6400","-0.2100","-11.35%","1.8300","1.8906","1.6400","1,334,800","11/03/23","STK","Yes","1","[object Object]"
"SCPH","SC Pharmaceuticals Inc","5.36","+0.33","+6.56%","5.05","5.45","5.05","213,100","11/03/23","STK","Yes","1","[object Object]"
"SCS","Steelcase Inc","11.41","+0.24","+2.15%","11.33","11.44","11.25","837,300","11/03/23","STK","Yes","1","[object Object]"
"SCSC","Scansource Inc","32.03","+0.26","+0.82%","32.18","32.51","31.94","98,000","11/03/23","STK","Yes","1","[object Object]"
"SCU","Sculptor Capital Management Inc","12.57","-0.01","-0.08%","12.63","12.63","12.52","784,000","11/03/23","UIT","Yes","11","[object Object]"
"SCVL","Shoe Carnival Inc","24.40","+0.86","+3.65%","23.90","24.72","23.90","219,300","11/03/23","STK","Yes","1","[object Object]"
"SCWO","374Water Inc","1.5600","+0.0400","+2.63%","1.5600","1.5700","1.4700","56,500","11/03/23","STK","No","1","[object Object]"
"SD","Sandridge Energy Inc","16.12","+0.11","+0.69%","16.07","16.24","15.94","198,000","11/03/23","STK","Yes","1","[object Object]"
"SDGR","Schrodinger Inc","28.34","+3.32","+13.27%","25.59","29.17","25.59","1,922,000","11/03/23","STK","Yes","1","[object Object]"
"SDRL","Seadrill 2021 Ltd","41.65","-0.78","-1.84%","41.98","42.50","41.48","539,000","11/03/23","STK","Yes","1","[object Object]"
"SEAS","Seaworld Entertainment Inc Company","47.27","+2.58","+5.77%","45.91","47.76","45.79","1,162,800","11/03/23","STK","Yes","1","[object Object]"
"SEAT","Vivid Seats Inc Cl A","6.21","+0.26","+4.37%","6.14","6.25","6.05","529,700","11/03/23","STK","Yes","1","[object Object]"
"SEER","Seer Inc Cl A","1.8200","+0.1700","+10.30%","1.7000","1.8400","1.6900","437,400","11/03/23","STK","Yes","1","[object Object]"
"SELB","Selecta Biosciences","1.1500","-0.0300","-2.54%","1.2000","1.2200","1.1400","536,900","11/03/23","STK","Yes","1","[object Object]"
"SEM","Select Medical Holdings Corp","22.31","-0.69","-3.00%","23.40","24.13","21.50","972,700","11/03/23","STK","Yes","1","[object Object]"
"SEMR","Semrush Holdings Inc Cl A","8.15","+0.50","+6.54%","7.83","8.19","7.66","740,800","11/03/23","STK","Yes","1","[object Object]"
"SENEA","Seneca Foods Cp A","55.00","-0.23","-0.42%","55.48","55.82","54.05","51,900","11/03/23","STK","No","1","[object Object]"
"SES","Ses Ai Corp","2.07","+0.07","+3.50%","2.10","2.13","2.00","395,800","11/03/23","STK","Yes","1","[object Object]"
"SFBS","Servisfirst Bancs","52.26","+3.25","+6.63%","51.11","52.82","50.90","260,200","11/03/23","STK","Yes","1","[object Object]"
"SFIX","Stitch Fix Inc","3.61","+0.23","+6.80%","3.47","3.76","3.43","1,271,100","11/03/23","STK","Yes","1","[object Object]"
"SFL","Ship Finance International","11.20","-0.06","-0.53%","11.23","11.29","11.16","540,900","11/03/23","STK","Yes","1","[object Object]"
"SFM","Sprouts Farmers Market","41.64","+0.46","+1.12%","41.51","41.86","40.15","1,295,900","11/03/23","STK","Yes","1","[object Object]"
