symbol,symbolName,lastPrice,priceChange,percentChange,highPrice,lowPrice,volume,tradeTime,symbolCode,hasOptions,symbolType,raw
"SRE","Sempra","70.03","+0.54","+0.78%","70.11","69.20","2,482,263","18:30 ET","STK","Yes","1","[object Object]"
"STE","Steris Corp","209.98","+0.88","+0.42%","211.36","208.51","589,386","18:30 ET","STK","Yes","1","[object Object]"
"STLD","Steel Dynamics Inc","106.51","+1.92","+1.84%","107.06","104.08","1,680,800","10/31/23","STK","Yes","1","[object Object]"
"STT","State Street Corp","64.63","+0.75","+1.17%","64.95","63.57","1,548,604","18:30 ET","STK","Yes","1","[object Object]"
"STX","Seagate Technology Hldgs Plc","68.25","-0.17","-0.25%","68.57","66.93","3,707,500","10/31/23","STK","Yes","1","[object Object]"
"STZ","Constellation Brands Inc","234.15","+0.05","+0.02%","236.10","233.33","850,182","18:30 ET","STK","Yes","1","[object Object]"
"SWK","Stanley Black & Decker Inc","85.05","+0.81","+0.96%","85.18","83.18","2,099,318","18:30 ET","STK","Yes","1","[object Object]"
"SWKS","Skyworks Solutions","86.74","+0.29","+0.34%","87.15","85.43","1,654,100","10/31/23","STK","Yes","1","[object Object]"
"SYF","Synchrony Financial","28.05","-0.28","-0.99%","28.41","27.97","3,936,143","18:30 ET","STK","Yes","1","[object Object]"
"SYK","Stryker Corp","270.22","+7.64","+2.91%","271.60","264.85","2,718,989","18:30 ET","STK","Yes","1","[object Object]"
"SYY","Sysco Corp","66.49","+0.95","+1.45%","67.09","64.28","6,214,743","18:30 ET","STK","Yes","1","[object Object]"
"T","AT&T Inc","15.40","+0.14","+0.92%","15.44","15.25","33,686,220","18:30 ET","STK","Yes","1","[object Object]"
"TAP","Molson Coors Brewing Company","57.77","+0.73","+1.28%","58.08","57.25","2,256,788","18:30 ET","STK","Yes","1","[object Object]"
"TDG","Transdigm Group Inc","828.09","+8.42","+1.03%","833.90","817.62","360,052","18:30 ET","STK","Yes","1","[object Object]"
"TDY","Teledyne Technologies Inc","374.59","+2.23","+0.60%","378.19","372.91","182,764","18:30 ET","STK","Yes","1","[object Object]"
"TECH","Bio-Techne Cp","54.63","-2.01","-3.55%","60.63","53.25","3,699,600","10/31/23","STK","Yes","1","[object Object]"
"TEL","Te Connectivity Ltd","117.85","+1.51","+1.30%","117.91","116.01","1,915,389","18:30 ET","STK","Yes","1","[object Object]"
"TER","Teradyne Inc","83.27","-0.19","-0.23%","84.07","82.65","1,540,100","10/31/23","STK","Yes","1","[object Object]"
"TFC","Truist Financial Corp","28.36","+0.18","+0.64%","28.42","27.88","10,506,564","18:30 ET","STK","Yes","1","[object Object]"
"TFX","Teleflex Inc","184.75","+5.36","+2.99%","186.24","178.83","464,077","18:30 ET","STK","Yes","1","[object Object]"
"TGT","Target Corp","110.79","+2.12","+1.95%","111.28","108.46","5,548,386","18:30 ET","STK","Yes","1","[object Object]"
"TJX","TJX Companies","88.07","-0.20","-0.23%","88.45","87.31","6,609,996","18:30 ET","STK","Yes","1","[object Object]"
"TMO","Thermo Fisher Scientific Inc","444.77","+10.66","+2.46%","446.60","433.15","2,895,400","18:30 ET","STK","Yes","1","[object Object]"
"TMUS","T-Mobile US","143.86","+2.29","+1.62%","144.23","141.29","3,971,900","10/31/23","STK","Yes","1","[object Object]"
"TPR","Tapestry Inc","27.56","-0.50","-1.78%","27.90","27.48","3,939,663","18:30 ET","STK","Yes","1","[object Object]"
"TRGP","Targa Resources","83.61","+0.01","+0.01%","84.22","82.90","1,549,351","18:30 ET","STK","Yes","1","[object Object]"
